date,branch,product,mass,materials,lifeCycleStep,lifeCycleStepCountry,impact,value,norm_value_ecs
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,etf-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,fru,7.2547125,7.834571213
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,fwe,2.01E-08,0.0002971081322
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,htc,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,htc-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,htn,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,htn-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,ior,0.0103280745,0.1035215611
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,ldu,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,mru,4.35E-08,0.04359603727
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,ozd,5.23E-12,5.19E-06
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,pco,0.0030905619,3.048264395
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,pma,2.52E-07,32.02181445
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,swe,0.00105678465,1.3517189
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,tre,0.0115795695,2.050524881
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,wtu,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,ecs,65.66939515,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,pef,82.10786859,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,acd,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,cch,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,etf,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,etf-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,fru,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,fwe,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,htc,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Distribution,FR,htc-c,0,0
